order_id,customer_id,store_id,order_date,channel,payment_method,order_status
O000001,C00913,ONLINE,2025-11-09,Online,UPI,Completed
O000002,C00840,ST005,2026-05-20,Physical Store,Credit Card,Completed
O000003,C00768,ONLINE,2025-03-18,Online,Credit Card,Completed
O000004,C04465,ONLINE,2025-05-15,Online,Credit Card,Completed
O000005,C00054,ST002,2024-09-02,Physical Store,UPI,Completed
O000006,C01764,ST003,2026-05-05,Physical Store,UPI,Completed
O000007,C02818,ST001,2025-05-04,Physical Store,Credit Card,Returned
O000008,C03101,ONLINE,2025-10-21,Online,Debit Card,Completed
O000009,C02963,ST001,2026-07-02,Physical Store,Credit Card,Completed
O000010,C00654,ST001,2025-07-24,Physical Store,UPI,Completed
O000011,C02989,ONLINE,2025-08-19,Online,UPI,Completed
O000012,C00585,ST002,2025-02-17,Physical Store,Debit Card,Completed
O000013,C03109,ONLINE,2024-10-31,Online,Credit Card,Completed
O000014,C02657,ST001,2025-12-26,Physical Store,Debit Card,Completed
O000015,C03287,ONLINE,2026-01-13,Online,Net Banking,Completed
O000016,C02578,ONLINE,2025-03-24,Online,UPI,Cancelled
O000017,C03759,ONLINE,2026-03-28,Online,UPI,Completed
O000018,C02153,ST004,2024-12-28,Physical Store,UPI,Completed
O000019,C01134,ONLINE,2026-05-16,Online,Debit Card,Completed
O000020,C01253,ST004,2024-12-15,Physical Store,UPI,Completed
O000021,C03835,ONLINE,2025-01-28,Online,Net Banking,Completed
O000022,C00939,ST005,2025-11-17,Physical Store,Debit Card,Completed
O000023,C02405,ONLINE,2025-05-10,Online,UPI,Completed
O000024,C02158,ST002,2025-03-16,Physical Store,Net Banking,Completed
O000025,C02445,ST005,2024-12-02,Physical Store,UPI,Completed
O000026,C01324,ONLINE,2025-02-20,Online,Net Banking,Completed
O000027,C04003,ONLINE,2025-08-11,Online,Net Banking,Completed
O000028,C02520,ONLINE,2025-12-14,Online,Net Banking,Cancelled
O000029,C00702,ST001,2025-02-18,Physical Store,Debit Card,Completed
O000030,C03894,ST002,2025-11-19,Physical Store,Credit Card,Completed
O000031,C01736,ST002,2024-08-17,Physical Store,UPI,Returned
O000032,C03060,ONLINE,2025-03-06,Online,Credit Card,Completed
O000033,C00525,ONLINE,2024-12-23,Online,Credit Card,Completed
O000034,C00059,ONLINE,2024-11-09,Online,UPI,Completed
O000035,C00258,ST001,2025-03-09,Physical Store,UPI,Completed
O000036,C01756,ONLINE,2025-01-10,Online,Credit Card,Completed
O000037,C03875,ST002,2026-05-13,Physical Store,UPI,Completed
O000038,C03470,ONLINE,2026-06-23,Online,Credit Card,Returned
O000039,C00807,ONLINE,2025-09-04,Online,Debit Card,Completed
O000040,C01570,ONLINE,2025-05-15,Online,UPI,Completed
O000041,C03790,ONLINE,2026-06-01,Online,UPI,Completed
O000042,C04509,ONLINE,2024-10-19,Online,Wallet,Completed
O000043,C00765,ST002,2026-02-28,Physical Store,UPI,Completed
O000044,C03286,ST002,2025-07-25,Physical Store,UPI,Completed
O000045,C03728,ONLINE,2024-09-03,Online,Wallet,Returned
O000046,C04553,ST004,2026-03-12,Physical Store,UPI,Completed
O000047,C00480,ST005,2026-06-16,Physical Store,Debit Card,Completed
O000048,C04786,ONLINE,2025-02-20,Online,UPI,Returned
O000049,C00657,ST001,2024-12-16,Physical Store,UPI,Completed
O000050,C03308,ONLINE,2025-01-11,Online,UPI,Completed
O000051,C00672,ONLINE,2024-12-28,Online,Credit Card,Completed
O000052,C02137,ONLINE,2025-09-30,Online,UPI,Completed
O000053,C02458,ONLINE,2026-06-04,Online,UPI,Completed
O000054,C04613,ST001,2025-02-13,Physical Store,UPI,Completed
O000055,C02860,ST002,2025-08-04,Physical Store,UPI,Completed
O000056,C04451,ST005,2024-10-17,Physical Store,Credit Card,Completed
O000057,C04544,ONLINE,2024-10-07,Online,UPI,Completed
O000058,C02167,ONLINE,2026-04-30,Online,Debit Card,Completed
O000059,C02309,ST003,2026-01-21,Physical Store,Credit Card,Completed
O000060,C04141,ONLINE,2026-06-26,Online,UPI,Completed
O000061,C02267,ONLINE,2025-09-10,Online,Debit Card,Completed
O000062,C02146,ONLINE,2025-05-22,Online,Credit Card,Completed
O000063,C00080,ONLINE,2024-09-09,Online,Net Banking,Completed
O000064,C03025,ST002,2025-06-03,Physical Store,UPI,Completed
O000065,C00327,ST002,2024-09-18,Physical Store,UPI,Completed
O000066,C04587,ST004,2024-11-20,Physical Store,Debit Card,Cancelled
O000067,C01940,ST002,2025-06-21,Physical Store,UPI,Completed
O000068,C02722,ST004,2024-10-01,Physical Store,Net Banking,Completed
O000069,C02186,ONLINE,2024-08-29,Online,UPI,Completed
O000070,C03856,ONLINE,2025-05-03,Online,UPI,Completed
O000071,C01865,ONLINE,2024-10-11,Online,UPI,Completed
O000072,C00569,ST003,2025-08-23,Physical Store,Credit Card,Completed
O000073,C04393,ONLINE,2026-07-20,Online,UPI,Returned
O000074,C01463,ST003,2026-07-09,Physical Store,UPI,Completed
O000075,C02570,ONLINE,2025-03-12,Online,UPI,Completed
O000076,C01558,ONLINE,2024-08-22,Online,UPI,Completed
O000077,C04411,ST002,2025-08-10,Physical Store,UPI,Cancelled
O000078,C02705,ST001,2025-10-14,Physical Store,Credit Card,Completed
O000079,C02673,ONLINE,2025-10-19,Online,Credit Card,Completed
O000080,C03106,ST002,2024-11-25,Physical Store,Credit Card,Completed
O000081,C00004,ONLINE,2026-01-14,Online,UPI,Completed
O000082,C02640,ONLINE,2025-05-22,Online,Credit Card,Completed
O000083,C01391,ST003,2025-03-08,Physical Store,Credit Card,Completed
O000084,C00766,ST002,2024-09-28,Physical Store,UPI,Completed
O000085,C01208,ONLINE,2025-12-10,Online,Wallet,Completed
O000086,C00597,ONLINE,2024-11-11,Online,Credit Card,Completed
O000087,C03146,ONLINE,2025-12-11,Online,UPI,Completed
O000088,C00874,ST002,2026-02-18,Physical Store,Debit Card,Completed
O000089,C03806,ONLINE,2025-12-05,Online,Net Banking,Completed
O000090,C01093,ST005,2025-01-22,Physical Store,Credit Card,Cancelled
O000091,C03626,ST005,2025-06-07,Physical Store,Debit Card,Completed
O000092,C01304,ST004,2025-05-14,Physical Store,UPI,Completed
O000093,C02272,ST005,2025-04-08,Physical Store,Credit Card,Completed
O000094,C00635,ST002,2025-11-12,Physical Store,UPI,Completed
O000095,C00661,ONLINE,2025-12-24,Online,UPI,Completed
O000096,C01753,ONLINE,2025-06-26,Online,UPI,Completed
O000097,C00511,ONLINE,2025-06-13,Online,UPI,Completed
O000098,C00161,ST005,2025-07-24,Physical Store,Credit Card,Cancelled
O000099,C02447,ST004,2025-02-12,Physical Store,Debit Card,Completed
O000100,C04942,ST004,2026-01-05,Physical Store,UPI,Completed
O000101,C03186,ONLINE,2024-09-21,Online,Debit Card,Completed
O000102,C03829,ST005,2025-02-17,Physical Store,UPI,Completed
O000103,C04624,ST001,2024-10-28,Physical Store,UPI,Completed
O000104,C01489,ONLINE,2025-07-25,Online,UPI,Completed
O000105,C02765,ST004,2025-11-06,Physical Store,Debit Card,Completed
O000106,C02067,ST004,2026-07-29,Physical Store,Debit Card,Completed
O000107,C02867,ONLINE,2026-06-08,Online,Debit Card,Completed
O000108,C00255,ST002,2026-07-28,Physical Store,Credit Card,Completed
O000109,C03880,ST005,2026-01-06,Physical Store,Credit Card,Completed
O000110,C03022,ONLINE,2024-12-04,Online,Wallet,Completed
O000111,C01342,ST001,2025-01-02,Physical Store,UPI,Completed
O000112,C03075,ONLINE,2026-01-26,Online,UPI,Completed
O000113,C01990,ONLINE,2025-10-13,Online,Net Banking,Completed
O000114,C00992,ST005,2026-07-06,Physical Store,UPI,Completed
O000115,C03036,ONLINE,2024-10-23,Online,UPI,Completed
O000116,C04016,ONLINE,2025-08-12,Online,Credit Card,Completed
O000117,C01254,ONLINE,2025-03-01,Online,Wallet,Completed
O000118,C04409,ST004,2025-05-28,Physical Store,Debit Card,Completed
O000119,C02641,ST001,2025-11-05,Physical Store,Net Banking,Completed
O000120,C03807,ST004,2025-09-07,Physical Store,UPI,Completed
O000121,C01490,ONLINE,2025-08-19,Online,Debit Card,Completed
O000122,C04884,ST003,2025-01-25,Physical Store,UPI,Cancelled
O000123,C00702,ONLINE,2025-06-27,Online,Credit Card,Completed
O000124,C03901,ST004,2025-05-16,Physical Store,Debit Card,Completed
O000125,C01816,ONLINE,2025-12-11,Online,UPI,Completed
O000126,C03877,ST003,2025-06-08,Physical Store,Wallet,Completed
O000127,C02883,ST003,2025-10-08,Physical Store,UPI,Completed
O000128,C01578,ONLINE,2025-02-15,Online,Wallet,Completed
O000129,C01570,ONLINE,2025-04-09,Online,UPI,Completed
O000130,C04298,ST001,2026-01-31,Physical Store,UPI,Completed
O000131,C02477,ONLINE,2025-02-17,Online,UPI,Completed
O000132,C00447,ST002,2024-11-02,Physical Store,Net Banking,Completed
O000133,C00101,ST004,2025-04-14,Physical Store,UPI,Completed
O000134,C00421,ONLINE,2025-04-15,Online,UPI,Completed
O000135,C04029,ONLINE,2024-11-11,Online,Credit Card,Completed
O000136,C04611,ST001,2025-12-06,Physical Store,UPI,Completed
O000137,C04967,ST005,2025-12-29,Physical Store,Debit Card,Completed
O000138,C03627,ONLINE,2024-12-23,Online,Wallet,Completed
O000139,C00494,ST001,2026-01-17,Physical Store,Credit Card,Completed
O000140,C00666,ONLINE,2026-02-21,Online,Credit Card,Completed
O000141,C03347,ONLINE,2024-12-17,Online,Credit Card,Completed
O000142,C02361,ST004,2026-06-06,Physical Store,Credit Card,Cancelled
O000143,C04832,ST002,2025-06-08,Physical Store,UPI,Completed
O000144,C01221,ST002,2026-06-05,Physical Store,UPI,Completed
O000145,C04875,ST005,2025-10-26,Physical Store,UPI,Completed
O000146,C02492,ST003,2025-03-23,Physical Store,Credit Card,Completed
O000147,C04900,ONLINE,2025-06-01,Online,Debit Card,Completed
O000148,C00212,ONLINE,2024-09-26,Online,Debit Card,Completed
O000149,C00170,ST003,2025-01-04,Physical Store,UPI,Completed
O000150,C03855,ONLINE,2025-05-22,Online,Net Banking,Completed
O000151,C04796,ONLINE,2025-04-01,Online,Wallet,Completed
O000152,C03346,ONLINE,2024-09-30,Online,UPI,Completed
O000153,C03373,ST003,2024-10-08,Physical Store,Net Banking,Completed
O000154,C04507,ONLINE,2026-05-19,Online,UPI,Completed
O000155,C03312,ST001,2024-10-13,Physical Store,Net Banking,Completed
O000156,C00445,ONLINE,2025-08-12,Online,Credit Card,Completed
O000157,C03622,ST002,2025-11-17,Physical Store,Credit Card,Cancelled
O000158,C03590,ST004,2026-04-15,Physical Store,UPI,Completed
O000159,C01961,ST003,2025-01-30,Physical Store,UPI,Completed
O000160,C01841,ST001,2025-05-02,Physical Store,Net Banking,Completed
O000161,C01262,ONLINE,2025-10-23,Online,Credit Card,Completed
O000162,C03953,ST002,2025-05-07,Physical Store,Credit Card,Completed
O000163,C04911,ONLINE,2026-03-31,Online,Net Banking,Completed
O000164,C03400,ONLINE,2025-03-16,Online,UPI,Completed
O000165,C02446,ST005,2024-10-11,Physical Store,Credit Card,Completed
O000166,C04413,ONLINE,2025-09-11,Online,Credit Card,Completed
O000167,C03731,ST002,2024-09-02,Physical Store,UPI,Completed
O000168,C03366,ONLINE,2025-04-20,Online,Debit Card,Completed
O000169,C03163,ST002,2025-03-28,Physical Store,Wallet,Completed
O000170,C04835,ONLINE,2026-05-07,Online,Net Banking,Completed
O000171,C04309,ST001,2026-03-23,Physical Store,UPI,Completed
O000172,C01265,ONLINE,2025-11-19,Online,UPI,Completed
O000173,C00658,ST005,2025-07-24,Physical Store,Wallet,Completed
O000174,C03998,ST001,2024-11-23,Physical Store,UPI,Completed
O000175,C02355,ST001,2025-05-30,Physical Store,Wallet,Completed
O000176,C00824,ONLINE,2024-09-06,Online,UPI,Completed
O000177,C02658,ST003,2025-08-15,Physical Store,UPI,Completed
O000178,C04352,ONLINE,2024-09-18,Online,Debit Card,Completed
O000179,C00647,ST004,2024-11-21,Physical Store,Credit Card,Completed
O000180,C04778,ONLINE,2025-05-02,Online,Credit Card,Completed
O000181,C00077,ST004,2025-10-27,Physical Store,Credit Card,Completed
O000182,C03619,ST005,2025-10-15,Physical Store,Credit Card,Completed
O000183,C02049,ONLINE,2025-10-12,Online,UPI,Completed
O000184,C03959,ONLINE,2025-07-23,Online,Credit Card,Completed
O000185,C02419,ONLINE,2024-10-12,Online,UPI,Completed
O000186,C00402,ST004,2025-10-28,Physical Store,Debit Card,Completed
O000187,C02887,ONLINE,2026-02-04,Online,Credit Card,Completed
O000188,C01121,ST001,2025-10-05,Physical Store,Debit Card,Completed
O000189,C02989,ST001,2025-10-19,Physical Store,UPI,Completed
O000190,C01645,ONLINE,2025-02-11,Online,Net Banking,Completed
O000191,C04111,ST002,2025-11-27,Physical Store,Net Banking,Cancelled
O000192,C02418,ST003,2026-04-22,Physical Store,Credit Card,Completed
O000193,C01849,ST004,2025-01-24,Physical Store,UPI,Completed
O000194,C00115,ONLINE,2026-04-13,Online,Credit Card,Completed
O000195,C02148,ST003,2026-04-29,Physical Store,Credit Card,Completed
O000196,C04600,ONLINE,2024-12-01,Online,UPI,Completed
O000197,C03804,ST003,2024-10-22,Physical Store,UPI,Completed
O000198,C00305,ONLINE,2025-03-31,Online,UPI,Completed
O000199,C04404,ONLINE,2025-05-10,Online,UPI,Cancelled
O000200,C04426,ONLINE,2026-03-12,Online,Net Banking,Completed
O000201,C04009,ST003,2026-07-15,Physical Store,Credit Card,Completed
O000202,C03643,ST003,2026-05-08,Physical Store,Wallet,Completed
O000203,C02939,ONLINE,2025-11-08,Online,UPI,Completed
O000204,C03726,ONLINE,2026-01-12,Online,Credit Card,Completed
O000205,C00175,ONLINE,2025-09-10,Online,UPI,Completed
O000206,C04626,ONLINE,2025-01-27,Online,UPI,Completed
O000207,C01909,ONLINE,2026-03-19,Online,Debit Card,Completed
O000208,C02272,ST002,2026-04-06,Physical Store,Credit Card,Completed
O000209,C00901,ST001,2026-04-05,Physical Store,UPI,Completed
O000210,C01950,ST001,2026-02-20,Physical Store,UPI,Completed
O000211,C03449,ONLINE,2026-06-13,Online,Credit Card,Completed
O000212,C04205,ST004,2025-03-20,Physical Store,UPI,Completed
O000213,C04272,ONLINE,2024-10-28,Online,Wallet,Completed
O000214,C03924,ST004,2024-09-14,Physical Store,UPI,Completed
O000215,C03634,ONLINE,2026-05-27,Online,UPI,Completed
O000216,C01034,ONLINE,2024-11-07,Online,Credit Card,Completed
O000217,C03121,ST005,2025-10-20,Physical Store,Credit Card,Completed
O000218,C00813,ST001,2024-10-16,Physical Store,Credit Card,Completed
O000219,C01762,ONLINE,2025-12-27,Online,UPI,Completed
O000220,C03267,ONLINE,2026-05-12,Online,UPI,Completed
O000221,C02089,ONLINE,2026-03-14,Online,Credit Card,Completed
O000222,C00748,ST001,2025-06-01,Physical Store,UPI,Completed
O000223,C01066,ST005,2025-01-19,Physical Store,Credit Card,Completed
O000224,C03366,ONLINE,2024-10-05,Online,Net Banking,Completed
O000225,C00422,ST005,2025-10-02,Physical Store,UPI,Completed
O000226,C01743,ONLINE,2025-04-11,Online,UPI,Completed
O000227,C04557,ONLINE,2025-11-05,Online,Credit Card,Completed
