product_id,product_name,brand,category,subcategory,mrp_inr,rating,review_count,size,stock_quantity
P1001,Too Faced Eyeshadow Palette,Too Faced,Makeup,Eyeshadow,2650,4.1,1168,7 ml,397
P1002,Kérastase Hydrating Lip Gloss,Kérastase,Makeup,Lip Gloss,1100,3.8,1816,150 ml,139
P1003,Laneige Full Coverage Concealer,Laneige,Makeup,Concealer,5450,4.5,4489,15 ml,234
P1004,Rare Beauty Professional Eyelash Curler,Rare Beauty,Tools & Brushes,Eyelash Curler,3250,3.8,1332,75 ml,377
P1005,Benefit Cosmetics Shimmer Body Mist,Benefit Cosmetics,Fragrance,Body Mist,5250,4.9,2782,7 ml,72
P1006,The Ordinary Exfoliating Body Scrub,The Ordinary,Bath & Body,Body Scrub,2900,4.5,380,100 ml,393
P1007,NARS Mini Eyeshadow Palette,NARS,Makeup,Eyeshadow,4400,4.1,2987,15 ml,315
P1008,MAC Matte Lipstick,MAC,Makeup,Lipstick,2350,4.7,678,15 ml,457
P1009,Clinique Water Lip Tint,Clinique,Makeup,Lip Tint,3800,4.5,3013,50 ml,103
P1010,MAC Hydrating Body Lotion,MAC,Bath & Body,Body Lotion,2400,4.6,609,10 ml,331
P1011,Sol de Janeiro Repair Conditioner,Sol de Janeiro,Haircare,Conditioner,3400,4.1,4587,50 ml,132
P1012,Estée Lauder Volumizing Mascara,Estée Lauder,Makeup,Mascara,1100,4.7,3311,7 ml,157
P1013,Laneige Hydrating Eye Cream,Laneige,Skincare,Eye Cream,4950,4.3,3783,30 ml,93
P1014,Too Faced Gentle Cleanser,Too Faced,Skincare,Cleanser,4350,4.4,4813,200 ml,239
P1015,Laneige Hydrating Hand Cream,Laneige,Bath & Body,Hand Cream,1550,4.4,769,5 ml,406
P1016,MAC Eyeshadow Palette,MAC,Makeup,Eyeshadow,1900,4.7,3483,7 ml,325
P1017,Huda Beauty Sugar Body Scrub,Huda Beauty,Bath & Body,Body Scrub,3650,4.4,4557,5 ml,460
P1018,Dior Shimmer Eyeshadow,Dior,Makeup,Eyeshadow,4300,4.6,2811,30 ml,77
P1019,Sol de Janeiro Makeup Sponge,Sol de Janeiro,Tools & Brushes,Beauty Sponge,500,4.8,2182,10 ml,276
P1020,Estée Lauder Compact Beauty Mirror,Estée Lauder,Beauty Accessories,Mirror,2500,4.1,4183,15 ml,331
P1021,Rare Beauty Gel Moisturizer,Rare Beauty,Skincare,Moisturizer,1800,4.4,4369,5 ml,490
P1022,Sephora Collection Citrus Eau de Toilette,Sephora Collection,Fragrance,Eau de Toilette,3900,4.8,2544,5 ml,142
P1023,NARS Smoothing Conditioner,NARS,Haircare,Conditioner,1500,4.6,591,150 ml,409
P1024,MAC Gentle Cleanser,MAC,Skincare,Cleanser,3800,4.8,1377,150 ml,155
P1025,Dior Makeup Sponge,Dior,Tools & Brushes,Beauty Sponge,2200,4.6,1672,30 ml,385
P1026,Sol de Janeiro Hydrating Hand Cream,Sol de Janeiro,Bath & Body,Hand Cream,4000,4.3,2055,7 ml,135
P1027,Huda Beauty Fragrance Body Mist,Huda Beauty,Fragrance,Body Mist,9550,4.1,1829,7 ml,23
P1028,NARS Volumizing Mascara,NARS,Makeup,Mascara,1100,4.7,605,15 ml,283
P1029,Laneige Scalp Treatment Oil,Laneige,Haircare,Hair Oil,4450,3.9,4702,100 ml,315
P1030,Rare Beauty Hydrating Conditioner,Rare Beauty,Haircare,Conditioner,3600,4.0,819,75 ml,357
P1031,Kérastase Nourishing Body Lotion,Kérastase,Bath & Body,Body Lotion,3650,4.8,468,7 ml,364
