year	month	month_name	revenue_inr	total_orders	average_order_value_inr
2024	8	August	16976005.00	1040	16323.08
2024	9	September	34791080.00	2133	16310.87
2024	10	October	36620835.00	2208	16585.52
2024	11	November	33316120.00	2038	16347.46
2024	12	December	34236937.50	2118	16164.75
2025	1	January	34157445.00	2087	16366.77
2025	2	February	29184602.50	1861	15682.22
2025	3	March	35538562.50	2146	16560.37
2025	4	April	33806802.50	2066	16363.41
2025	5	May	33836757.50	2081	16259.85
2025	6	June	32522252.50	2036	15973.60
2025	7	July	33332785.00	2015	16542.33
2025	8	August	35664207.50	2163	16488.31
2025	9	September	34721150.00	2105	16494.61
2025	10	October	33793725.00	2082	16231.38
2025	11	November	32946352.50	2083	15816.78
2025	12	December	34265005.00	2089	16402.59
2026	1	January	35129167.50	2133	16469.37
2026	2	February	30544172.50	1882	16229.63
2026	3	March	36395325.00	2177	16718.11
2026	4	April	32401415.00	2004	16168.37
2026	5	May	33544352.50	2097	15996.35
2026	6	June	33400452.50	2078	16073.37
2026	7	July	33666555.00	2061	16335.06
2026	8	August	20692920.00	1217	17003.22
