product_id	product_name	brand	category	total_orders	units_sold	revenue_inr	avg_discount_percent
P1001	Too Faced Eyeshadow Palette	Too Faced	Makeup	820	1620	3855087.50	10.13
P1002	Kérastase Hydrating Lip Gloss	Kérastase	Makeup	859	1737	1711765.00	10.24
P1003	Laneige Full Coverage Concealer	Laneige	Makeup	854	1701	8285907.50	10.57
P1004	Rare Beauty Professional Eyelash Curler	Rare Beauty	Tools & Brushes	884	1767	5119887.50	10.72
P1005	Benefit Cosmetics Shimmer Body Mist	Benefit Cosmetics	Fragrance	788	1576	7425862.50	10.16
P1006	The Ordinary Exfoliating Body Scrub	The Ordinary	Bath & Body	797	1597	4144245.00	10.43
P1007	NARS Mini Eyeshadow Palette	NARS	Makeup	801	1591	6318840.00	9.83
P1008	MAC Matte Lipstick	MAC	Makeup	833	1658	3503732.50	10.03
P1009	Clinique Water Lip Tint	Clinique	Makeup	821	1626	5544770.00	10.00
P1010	MAC Hydrating Body Lotion	MAC	Bath & Body	815	1639	3549720.00	9.87
P1011	Sol de Janeiro Repair Conditioner	Sol de Janeiro	Haircare	820	1616	4912320.00	10.66
P1012	Estée Lauder Volumizing Mascara	Estée Lauder	Makeup	833	1678	1661550.00	9.98
P1013	Laneige Hydrating Eye Cream	Laneige	Skincare	817	1659	7375500.00	10.41
P1014	Too Faced Gentle Cleanser	Too Faced	Skincare	843	1682	6530002.50	10.69
P1015	Laneige Hydrating Hand Cream	Laneige	Bath & Body	800	1629	2249360.00	10.71
P1016	MAC Eyeshadow Palette	MAC	Makeup	895	1813	3090350.00	10.03
P1017	Huda Beauty Sugar Body Scrub	Huda Beauty	Bath & Body	913	1834	6042392.50	9.91
P1018	Dior Shimmer Eyeshadow	Dior	Makeup	852	1706	6582655.00	10.17
P1019	Sol de Janeiro Makeup Sponge	Sol de Janeiro	Tools & Brushes	836	1695	760950.00	10.21
P1020	Estée Lauder Compact Beauty Mirror	Estée Lauder	Beauty Accessories	809	1630	3653625.00	10.36
P1021	Rare Beauty Gel Moisturizer	Rare Beauty	Skincare	809	1586	2577330.00	9.69
P1022	Sephora Collection Citrus Eau de Toilette	Sephora Collection	Fragrance	852	1694	5895240.00	10.75
P1023	NARS Smoothing Conditioner	NARS	Haircare	864	1769	2385300.00	10.15
P1024	MAC Gentle Cleanser	MAC	Skincare	821	1642	5605380.00	9.99
P1025	Dior Makeup Sponge	Dior	Tools & Brushes	833	1650	3259300.00	10.16
P1026	Sol de Janeiro Hydrating Hand Cream	Sol de Janeiro	Bath & Body	826	1624	5845000.00	9.98
P1027	Huda Beauty Fragrance Body Mist	Huda Beauty	Fragrance	879	1771	15179247.50	10.19
P1028	NARS Volumizing Mascara	NARS	Makeup	841	1682	1670295.00	9.63
P1029	Laneige Scalp Treatment Oil	Laneige	Haircare	835	1687	6754432.50	10.09
